Program Session,Major,Curriculum,Class,Subject,Cr,Room,Sched. Time
M,PS_HI,IR-2024,M IR-2024 Class 6,Foundation in Social Sciences and Humanities,3.0,B207,Thu4
M,PS_HI,IR-2024,M IR-2024 Class 7,Foundation in Social Sciences and Humanities,3.0,B411,Tue2
M,PS_HI,IR-2023,M IR-2023 Class 1 French,Economic and Commercial Diplomacy,3.0,B310,Wed5
M,PS_HI,IR-2023,M IR-2023 Class 1 French,Academic Writing,0.0,B104,Wed4
M,PS_HI,IR-2023,M IR-2023 Class 2 French,Academic Writing,0.0,A420,Fri2
M,PS_HI,IR-2023,M IR-2023 Class 3 French,Academic Writing,0.0,B207,Fri5
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,Academic Writing,0.0,B202,Wed3
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,Academic Writing,0.0,B310,Thu5
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,Academic Writing,0.0,B306,Fri4
M,PS_HI,IR-2024,M IR-2024 Class 2,Foundation in Social Sciences and Humanities,3.0,B311,Mon1
M,PS_HI,IR-2024,M IR-2024 Class 2,Leadership,3.0,B302,Mon3
M,PS_HI,IR-2024,M IR-2024 Class 1,Introduction to Political Science,3.0,B411,Wed1
M,PS_HI,IR-2024,M IR-2024 Class 6,Statistics and Data Literacy,3.0,B305,Thu3
M,PS_HI,IR-2024,M IR-2024 Class 4,Leadership,3.0,B207,Fri4
M,PS_HI,IR-2024,M IR-2024 Class 1,Survival English,0.0,B303,Fri2
M,PS_HI,IR-2024,M IR-2024 Class 6,Leadership,3.0,B307,Wed3
M,PS_HI,IR-2024,M IR-2024 Class 7,Leadership,3.0,B208,Thu2
M,PS_HI,IR-2024,M IR-2024 Class 1,First-Year Writing Seminar,3.0,B311,Thu2
M,PS_HI,IR-2024,M IR-2024 Class 2,First-Year Writing Seminar,3.0,B307,Wed5
M,PS_HI,IR-2024,M IR-2024 Class 3,First-Year Writing Seminar,3.0,B303,Fri5
M,PS_HI,IR-2024,M IR-2024 Class 4,First-Year Writing Seminar,3.0,B404,Wed4
M,PS_HI,IR-2024,M IR-2024 Class 5,First-Year Writing Seminar,3.0,B206,Thu2
M,PS_HI,IR-2024,M IR-2024 Class 6,First-Year Writing Seminar,3.0,B203,Mon2
M,PS_HI,IR-2024,M IR-2024 Class 7,First-Year Writing Seminar,3.0,B203,Wed5
M,PS_HI,IR-2024,M IR-2024 Class 1,Statistics and Data Literacy,3.0,B105,Fri5
M,PS_HI,IR-2024,M IR-2024 Class 7,Statistics and Data Literacy,3.0,B405,Tue4
M,PS_HI,IR-2024,M IR-2024 Class 2,Statistics and Data Literacy,3.0,B407,Tue4
M,PS_HI,IR-2024,M IR-2024 Class 4,Statistics and Data Literacy,3.0,B408,Tue4
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,Study of War and Peace,3.0,B407,Mon3
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,Globalization and Social Change,3.0,B302,Tue3
M,PS_HI,IR-2023,M IR-2023 Class 1 French,Environmental Issues in IR,3.0,B302,Mon4
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,International Humanitarian Law,3.0,B308,Tue4
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,Negotiation Technique and Lobbying,3.0,B209,Tue2
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,Negotiation Technique and Lobbying,3.0,B211,Wed2
M,PS_HI,IR-2024,M IR-2024 Class 7,Survival English,0.0,B401,Tue4
M,PS_HI,IR-2023,M IR-2023 Class 1 French,Politics of ASEAN Member States,3.0,B303,Thu5
M,PS_HI,IR-2024,M IR-2024 Class 3,Survival English,0.0,B404,Mon2
M,PS_HI,IR-2024,M IR-2024 Class 2,Survival English,0.0,B103,Wed2
M,PS_HI,IR-2024,M IR-2024 Class 5,Statistics and Data Literacy,3.0,B204,Fri5
M,PS_HI,IR-2024,M IR-2024 Class 3,Statistics and Data Literacy,3.0,B208,Wed2
M,PS_HI,IR-2024,M IR-2024 Class 5,Survival English,0.0,B307,Tue4
M,PS_HI,IR-2024,M IR-2024 Class 6,Survival English,0.0,B303,Thu1
M,PS_HI,IR-2024,M IR-2024 Class 10,Introduction to Political Science,3.0,B409,Tue4
M,PS_HI,IR-2024,M IR-2024 Class 10,Statistics and Data Literacy,3.0,B402,Thu3
M,PS_HI,IR-2024,M IR-2024 Class 9,Introduction to Political Science,3.0,B408,Tue1
M,PS_HI,IR-2024,M IR-2024 Class 8,Introduction to Political Science,3.0,B404,Tue1
M,PS_HI,IR-2024,M IR-2024 Class 8,Foundation in Social Sciences and Humanities,3.0,B201,Fri4
M,PS_HI,IR-2024,M IR-2024 Class 9,Foundation in Social Sciences and Humanities,3.0,B402,Thu2
M,PS_HI,IR-2024,M IR-2024 Class 9,Survival English,0.0,B401,Fri1
M,PS_HI,IR-2024,M IR-2024 Class 8,Survival English,0.0,B401,Fri5
M,PS_HI,IR-2024,M IR-2024 Class 10,Foundation in Social Sciences and Humanities,3.0,B309,Wed5
M,PS_HI,IR-2024,M IR-2024 Class 8,Statistics and Data Literacy,3.0,B411,Fri1
M,PS_HI,IR-2024,M IR-2024 Class 10,Survival English,0.0,B401,Tue3
M,PS_HI,IR-2024,M IR-2024 Class 8,Leadership,3.0,B201,Fri5
M,PS_HI,IR-2024,M IR-2024 Class 9,Leadership,3.0,B302,Wed2
M,PS_HI,IR-2024,M IR-2024 Class 10,First-Year Writing Seminar,3.0,B402,Tue3
M,PS_HI,IR-2024,M IR-2024 Class 10,Leadership,3.0,B410,Mon4
M,PS_HI,IR-2024,M IR-2024 Class 10,Economic Survival 1: Business Creation / Internship Experience,3.0,B203,Wed1
M,PS_HI,IR-2024,M IR-2024 Class 9,Economic Survival 1: Business Creation / Internship Experience,3.0,B202,Tue5
M,PS_HI,IR-2024,M IR-2024 Class 8,Economic Survival 1: Business Creation / Internship Experience,3.0,B208,Tue5
M,PS_HI,IR-2024,M IR-2024 Class 9,Statistics and Data Literacy,3.0,B203,Thu5
M,PS_HI,IR-2024,M IR-2024 Class 8,First-Year Writing Seminar,3.0,B309,Mon3
M,PS_HI,IR-2024,M IR-2024 Class 9,First-Year Writing Seminar,3.0,B103,Thu5
M,PS_Hukum,LAW-2024,M LAW-2024 -4,Introduction to Law,3.0,B409,Fri5
M,PS_Hukum,LAW-2024,M LAW-2024 -3,Introduction to Law,3.0,A424,Tue2
M,PS_Hukum,LAW-2024,M LAW-2024 -2,Introduction to Law,3.0,B302,Wed5
M,PS_Hukum,LAW-2024,M LAW-2024 -3,Legal Industry and Career Preparation,3.0,B306,Tue3
M,PS_Hukum,LAW-2024,M LAW-2024 -4,English for Lawyers 1,3.0,B308,Fri1
M,PS_Hukum,LAW-2024,M LAW-2024 -3,English for Lawyers 1,3.0,B105,Thu3
M,PS_Hukum,LAW-2024,M LAW-2024 -2,English for Lawyers 1,3.0,B403,Wed3
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,International Law in Indonesian Law,3.0,B102,Fri5
M,PS_Hukum,LAW-2024,M LAW-2024 -1,English for Lawyers 1,3.0,B306,Thu5
M,PS_Hukum,LAW-2024,M LAW-2024 -1,Legal Industry and Career Preparation,3.0,B102,Thu3
M,PS_Hukum,LAW-2024,M LAW-2024 -4,Legal Reasoning and Research Methodology,3.0,B406,Mon5
M,PS_Hukum,LAW-2024,M LAW-2024 -4,Legal Industry and Career Preparation,3.0,B206,Tue3
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,International and Regional Organizations,3.0,A424,Wed1
M,PS_Hukum,LAW-2024,M LAW-2024 -5,Survival English,0.0,B201,Wed5
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,Indonesian and International Extradition Laws,3.0,B208,Tue1
M,PS_Hukum,LAW-2022,M LAW-2022 Corporate Law,Legal Project,3.0,B403,Fri4
M,PS_Hukum,LAW-2022,M LAW-2022 General Law,Legal Project,3.0,B101,Tue2
M,PS_Hukum,LAW-2022,M LAW-2022 International Law,Legal Project,3.0,B207,Tue5
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 2,Contract Law,3.0,B308,Thu1
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 2,Land and Property for Corporate Lawyers,3.0,B205,Tue5
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 2,Capital Market Law,3.0,B308,Mon1
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 2,Mergers and Acquisitions Law,3.0,B403,Mon4
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 2,Trade and Tax Law,3.0,B411,Thu5
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 2,Academic Writing,0.0,B402,Fri1
M,PS_Hukum,LAW-2024,M LAW-2024 -6,English for Lawyers 1,3.0,B206,Wed2
M,PS_Hukum,LAW-2024,M LAW-2024 -6,Legal Industry and Career Preparation,3.0,A424,Fri2
M,PS_Hukum,LAW-2024,M LAW-2024 -6,Legal Reasoning and Research Methodology,3.0,B207,Thu2
M,PS_Hukum,LAW-2024,M LAW-2024 -6,Introduction to Law,3.0,B301,Mon1
M,PS_Hukum,LAW-2024,M LAW-2024 -6,Introduction to Indonesian Law,3.0,B103,Tue4
M,PS_Hukum,LAW-2024,M LAW-2024 -6,Economic Survival 1: Business Creation / Internship Experience,3.0,B408,Thu3
M,PS_Hukum,,M PS_Hukum Indonesian Language,Indonesian Language,3.0,B205,Thu1
M,PS_Hukum,,M PS_Hukum Pancasila,Pancasila,2.0,B311,Wed3
M,PS_Hukum,,M PS_Hukum Citizenship,Citizenship,2.0,B105,Mon3
M,PS_Hukum,,M PS_Hukum Religion,Religion,2.0,B211,Tue3
M,PS_Hukum,,M PS_Hukum Pre-Internship,Pre-Internship,1.0,B102,Mon1
M,PS_Hukum,LAW-2024,M LAW-2024 -6,Survival English,0.0,B108,Tue5
M,PS_Hukum,,M PS_Hukum Golf Class,Golf Class,3.0,A420,Fri5
M,PS_Hukum,,M PS_Hukum Golf Class Non-Credits,Golf Class Non-Credits,0.0,B403,Mon1
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,International Environmental Law,3.0,B411,Tue3
M,PS_Hukum,,M PS_Hukum Music Orchestra 2,Music Orchestra 2,3.0,B209,Thu5
M,PS_Hukum,LAW-2024,M LAW-2024 -2,Legal Industry and Career Preparation,3.0,B105,Mon5
M,PS_Hukum,LAW-2024,M LAW-2024 -2,Legal Reasoning and Research Methodology,3.0,B301,Mon3
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Introduction to U.S. Law,3.0,B105,Tue2
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,Introduction to U.S. Law,3.0,A421,Wed3
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Introduction to U.S. Law,3.0,B303,Tue5
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Private Procedural Law,3.0,B402,Wed1
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Criminal Procedural Law,3.0,B201,Wed2
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Constitutional Procedural Law,3.0,B409,Mon4
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Administrative Procedural Law,3.0,B310,Wed2
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Family and Islamic Law,3.0,B206,Wed1
M,PS_Hukum,LAW-2024,M LAW-2024 -3,Legal Reasoning and Research Methodology,3.0,B408,Fri5
M,PS_Hukum,LAW-2024,M LAW-2024 -1,Economic Survival 1: Business Creation / Internship Experience,3.0,B308,Tue3
M,PS_Hukum,LAW-2024,M LAW-2024 -5,Economic Survival 1: Business Creation / Internship Experience,3.0,B303,Thu2
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Trade and Tax Law,3.0,B403,Thu4
M,PS_Hukum,LAW-2024,M LAW-2024 -5,Introduction to Indonesian Law,3.0,B108,Fri5
M,PS_Hukum,LAW-2024,M LAW-2024 -5,Legal Industry and Career Preparation,3.0,B103,Fri1
M,PS_Hukum,LAW-2024,M LAW-2024 -5,English for Lawyers 1,3.0,B203,Mon1
M,PS_Hukum,LAW-2024,M LAW-2024 -2,Economic Survival 1: Business Creation / Internship Experience,3.0,B401,Thu3
M,PS_Hukum,LAW-2024,M LAW-2024 -5,Introduction to Law,3.0,B207,Mon1
M,PS_Hukum,,M PS_Hukum Projects: Video Editing for TikTok Content I,Projects: Video Editing for TikTok Content I,3.0,B411,Mon1
M,PS_Hukum,,M PS_Hukum Projects: Video Editing for TikTok Content I Non Credits,Projects: Video Editing for TikTok Content I Non Credits,0.0,B308,Mon3
M,PS_Hukum,LAW-2024,M LAW-2024 -3,Economic Survival 1: Business Creation / Internship Experience,3.0,B309,Fri2
M,PS_Hukum,LAW-2024,M LAW-2024 -4,Economic Survival 1: Business Creation / Internship Experience,3.0,B104,Mon3
M,PS_Hukum,,M PS_Hukum Music Orchestra 1 Non-Credits,Music Orchestra 1 Non-Credits,0.0,B104,Wed2
M,PS_Hukum,,M PS_Hukum Survival English (Batch 2022),Survival English,0.0,B410,Mon2
M,PS_Hukum,,M PS_Hukum Vocal Technique 1 Non-Credits,Vocal Technique 1 Non-Credits,0.0,B103,Fri2
M,PS_Hukum,LAW-2024,M LAW-2024 -5,Legal Reasoning and Research Methodology,3.0,B104,Fri1
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Mergers and Acquisitions Law,3.0,B302,Tue1
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,Law of Treaties,3.0,B310,Tue2
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Land and Property for Corporate Lawyers,3.0,B407,Wed3
M,PS_Hukum,LAW-2023,M LAW-2023 Litigation Law,Academic Writing,0.0,B304,Tue4
M,PS_Hukum,LAW-2024,M LAW-2024 -1,Introduction to Indonesian Law,3.0,B208,Tue3
M,PS_Hukum,LAW-2024,M LAW-2024 -1,Survival English,0.0,B209,Thu3
M,PS_Hukum,LAW-2024,M LAW-2024 -2,Survival English,0.0,B411,Thu3
M,PS_Hukum,LAW-2024,M LAW-2024 -2,Introduction to Indonesian Law,3.0,B411,Wed2
M,PS_Hukum,LAW-2024,M LAW-2024 -3,Introduction to Indonesian Law,3.0,B301,Tue1
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Capital Market Law,3.0,B407,Mon5
M,PS_Hukum,LAW-2023,M LAW-2023 International Law,Academic Writing,0.0,B102,Wed3
M,PS_Hukum,LAW-2024,M LAW-2024 -4,Introduction to Indonesian Law,3.0,B404,Mon1
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Academic Writing,0.0,B402,Tue2
M,PS_Hukum,LAW-2024,M LAW-2024 -4,Survival English,0.0,B310,Wed1
M,PS_Hukum,LAW-2024,M LAW-2024 -1,Introduction to Law,3.0,B101,Wed1
M,PS_Hukum,LAW-2024,M LAW-2024 -1,Legal Reasoning and Research Methodology,3.0,B405,Mon5
M,PS_Hukum,LAW-2023,M LAW-2023 Corporate Law 1,Contract Law,3.0,B103,Thu2
M,PS_Hukum,LAW-2024,M LAW-2024 -3,Survival English,0.0,B102,Fri2
M,PS_IA,ACS-2024,M ACS-2024 CLASS 1,Survival English,0.0,B308,Thu5
M,PS_IA,ACS-2023,M ACS-2023 CLASS 1,Academic Writing,0.0,B401,Mon3
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,Quantitative Communication Research Method,3.0,B309,Mon5
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,Quantitative Communication Research Method,3.0,B201,Fri1
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,Multimodal Communication,3.0,B105,Fri2
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,Multimodal Communication,3.0,B409,Fri4
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,Quantitative Communication Research Method,3.0,B308,Wed3
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,News Writing,3.0,B205,Tue4
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,Multimodal Communication,3.0,B101,Mon4
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,News Writing,3.0,B309,Mon4
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,News Writing,3.0,B204,Mon3
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,Intercultural Communication,3.0,B301,Tue2
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Logic and Critical Thinking,3.0,B104,Wed3
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,Intercultural Communication,3.0,B102,Mon3
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,Intercultural Communication,3.0,B406,Mon1
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,Basic Camera,3.0,B208,Wed3
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,News Writing,3.0,B203,Thu4
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,Multimodal Communication,3.0,B406,Mon3
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Introduction to Communication,3.0,B103,Mon1
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Photography for Communication,3.0,B104,Wed1
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Economic Survival 1: Business Creation / Internship Experience,3.0,B405,Tue3
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Introduction to Communication,3.0,B302,Thu1
M,PS_IKom,COMM-2022,M COMM-2022 PR Class 2,Media Programming,3.0,B302,Mon1
M,PS_IKom,COMM-2022,M COMM-2022 PR Class 1,Media Programming,3.0,B404,Thu1
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,Academic Writing,0.0,B206,Fri5
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,Academic Writing,0.0,B311,Thu3
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,Academic Writing,0.0,B210,Tue5
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,Academic Writing,0.0,B304,Tue5
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Photography for Communication,3.0,A420,Mon1
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Survival English,0.0,B406,Mon4
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Survival English,0.0,B304,Wed4
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Logic and Critical Thinking,3.0,B307,Fri5
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Introduction to Communication,3.0,B311,Tue5
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Introduction to Communication,3.0,B103,Wed3
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Writing for Communication,3.0,B202,Wed1
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Writing for Communication,3.0,B103,Tue2
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Writing for Communication,3.0,B409,Thu2
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Photography for Communication,3.0,B403,Tue5
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Survival English,0.0,B408,Wed3
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Economic Survival 1: Business Creation / Internship Experience,3.0,B306,Thu3
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,Quantitative Communication Research Method,3.0,B303,Wed2
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Public Speaking,3.0,B407,Tue1
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,Social Media and Big Data,3.0,B308,Mon4
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,Social Media and Big Data,3.0,B108,Fri2
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Logic and Critical Thinking,3.0,B410,Tue1
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,Social Media and Big Data,3.0,A421,Thu1
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,Social Media and Big Data,3.0,B402,Wed3
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Economic Survival 1: Business Creation / Internship Experience,3.0,B211,Mon4
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Public Speaking,3.0,B411,Wed3
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Public Speaking,3.0,B401,Thu4
M,PS_IKom,COMM-2024,M COMM-2024 Class 1,Logic and Critical Thinking,3.0,B301,Thu5
M,PS_IKom,COMM-2023,M COMM-2023 Class 3,Basic Camera,3.0,B301,Wed2
M,PS_IKom,COMM-2024,M COMM-2024 Class 3,Public Speaking,3.0,B404,Tue4
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Survival English,0.0,A421,Tue3
M,PS_IKom,COMM-2024,M COMM-2024 Class 2,Economic Survival 1: Business Creation / Internship Experience,3.0,B207,Wed4
M,PS_IKom,COMM-2023,M COMM-2023 Class 4,Intercultural Communication,3.0,B204,Mon4
M,PS_IKom,COMM-2023,M COMM-2023 Class 2,Basic Camera,3.0,B408,Wed1
M,PS_IKom,COMM-2023,M COMM-2023 Class 1,Basic Camera,3.0,B411,Fri2
M,PS_IKom,COMM-2022,M COMM-2022 CJ Class,Qualitative Interview,3.0,B408,Tue2
M,PS_IKom,COMM-2022,M COMM-2022 FTV Class,Qualitative Interview,3.0,B406,Tue4
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Photography for Communication,3.0,B301,Wed5
M,PS_IKom,COMM-2024,M COMM-2024 Class 4,Writing for Communication,3.0,B401,Thu5
M,PS_Man,MGT-2024,M MGT-2024 -1,Survival English,0.0,B101,Tue5
M,PS_Man,MGT-2023,M MGT-2023 IB-1,Academic Writing,0.0,B201,Tue3
M,PS_Man,MGT-2023,M MGT-2023 HCM,Academic Writing,0.0,B408,Mon5
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,Academic Writing,0.0,B307,Thu3
M,PS_Man,MGT-2023,M MGT-2023 BF,Academic Writing,0.0,B105,Tue1
M,PS_Man,MGT-2024,M MGT-2024 -1,Financial Management,3.0,B402,Tue4
M,PS_Man,MGT-2024,M MGT-2024 -5,Business Economics,3.0,A421,Mon2
M,PS_Man,MGT-2023,M MGT-2023 BF,Industrial Psychology,3.0,B203,Thu3
M,PS_Man,MGT-2024,M MGT-2024 -2,Survival English,0.0,B101,Mon2
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,Industrial Psychology,3.0,B402,Tue1
M,PS_Man,MGT-2023,M MGT-2023 HCM,Industrial Psychology,3.0,B406,Fri5
M,PS_Man,MGT-2023,M MGT-2023 IB-1,Industrial Psychology,3.0,B409,Thu4
M,PS_Man,MGT-2023,M MGT-2023 IB-2,Industrial Psychology,3.0,B201,Fri2
M,PS_Man,MGT-2023,M MGT-2023 IB-4,E-Marketing and E-Commerce,3.0,B411,Mon5
M,PS_Man,MGT-2024,M MGT-2024 -3,Survival English,0.0,B211,Thu4
M,PS_Man,MGT-2023,M MGT-2023 IB-4,Academic Writing,0.0,B108,Wed3
M,PS_Man,MGT-2024,M MGT-2024 -5,Survival English,0.0,B101,Fri1
M,PS_Man,MGT-2023,M MGT-2023 IB-2,Academic Writing,0.0,B208,Wed5
M,PS_Man,MGT-2023,M MGT-2023 DCM-2,Academic Writing,0.0,B311,Fri1
M,PS_Man,MGT-2024,M MGT-2024 -5,Business Mathematics,3.0,B302,Fri2
M,PS_Man,MGT-2024,M MGT-2024 -2,Financial Management,3.0,B205,Thu2
M,PS_Man,MGT-2024,M MGT-2024 -3,Financial Management,3.0,A421,Tue4
M,PS_Man,MGT-2024,M MGT-2024 -4,Financial Management,3.0,B307,Mon1
M,PS_Man,MGT-2024,M MGT-2024 -5,Financial Management,3.0,B402,Tue5
M,PS_Man,MGT-2024,M MGT-2024 -1,Business Economics,3.0,B201,Mon4
M,PS_Man,MGT-2023,M MGT-2023 IB-4,Industrial Psychology,3.0,B309,Thu2
M,PS_Man,MGT-2024,M MGT-2024 -2,Business Economics,3.0,B405,Wed2
M,PS_Man,MGT-2024,M MGT-2024 -3,Business Economics,3.0,B409,Fri1
M,PS_Man,MGT-2024,M MGT-2024 -4,Business Mathematics,3.0,B105,Tue4
M,PS_Man,MGT-2024,M MGT-2024 -4,Business Economics,3.0,B201,Tue5
M,PS_Man,MGT-2024,M MGT-2024 -4,Survival English,0.0,B406,Tue5
M,PS_Man,MGT-2023,M MGT-2023 DCM-2,Industrial Psychology,3.0,B303,Mon1
M,PS_Man,MGT-2023,M MGT-2023 HCM,E-Marketing and E-Commerce,3.0,B310,Thu2
M,PS_Man,MGT-2023,M MGT-2023 HCM,Financial Statement Analysis,3.0,B406,Tue3
M,PS_Man,MGT-2023,M MGT-2023 IB-4,Internationalization of Small and Medium Sized Enterprise,3.0,B103,Mon2
M,PS_Man,MGT-2024,M MGT-2024 -6,Survival English,0.0,B402,Mon4
M,PS_Man,MGT-2022,M MGT-2022 IB-2,Research Methodology,3.0,B203,Fri1
M,PS_Man,MGT-2022,M MGT-2022 IB-1,Research Methodology,3.0,B403,Tue4
M,PS_Man,MGT-2022,M MGT-2022 HCM,Research Methodology,3.0,A421,Fri4
M,PS_Man,MGT-2022,M MGT-2022 DCM,Research Methodology,3.0,B405,Fri5
M,PS_Man,MGT-2023,M MGT-2023 IB-2,Internationalization of Small and Medium Sized Enterprise,3.0,A421,Thu3
M,PS_Man,MGT-2022,M MGT-2022 BF,Research Methodology,3.0,B103,Mon3
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,Digital Marketing,3.0,B304,Wed2
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,Consumer Behavior,3.0,B302,Tue4
M,PS_Man,MGT-2023,M MGT-2023 BF,Financial Markets and Institutions,3.0,B302,Fri4
M,PS_Man,MGT-2023,M MGT-2023 BF,Risk Management,3.0,B406,Wed1
M,PS_Man,MGT-2023,M MGT-2023 BF,General Banking and Digital Finance,3.0,A424,Thu1
M,PS_Man,MGT-2023,M MGT-2023 HCM,Performance Management,3.0,B205,Fri5
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,Advertising and Integrated Marketing Communication,3.0,B201,Tue4
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,Financial Statement Analysis,3.0,B408,Mon4
M,PS_Man,MGT-2023,M MGT-2023 IB-1,Internationalization of Small and Medium Sized Enterprise,3.0,B210,Wed4
M,PS_Man,MGT-2023,M MGT-2023 IB-2,International Corporate Sustainability,3.0,B101,Thu4
M,PS_Man,MGT-2023,M MGT-2023 IB-1,Financial Statement Analysis,3.0,B409,Fri2
M,PS_Man,MGT-2023,M MGT-2023 IB-2,Financial Statement Analysis,3.0,B310,Wed4
M,PS_Man,MGT-2023,M MGT-2023 DCM-2,Financial Statement Analysis,3.0,B211,Tue1
M,PS_Man,MGT-2023,M MGT-2023 IB-4,Financial Statement Analysis,3.0,B402,Fri5
M,PS_Man,MGT-2023,M MGT-2023 DCM-2,E-Marketing and E-Commerce,3.0,B101,Wed5
M,PS_Man,MGT-2023,M MGT-2023 IB-2,E-Marketing and E-Commerce,3.0,B206,Wed3
M,PS_Man,MGT-2023,M MGT-2023 IB-1,International Corporate Sustainability,3.0,B404,Fri4
M,PS_Man,MGT-2023,M MGT-2023 IB-1,E-Marketing and E-Commerce,3.0,B307,Mon5
M,PS_Man,MGT-2023,M MGT-2023 DCM-1,E-Marketing and E-Commerce,3.0,B404,Wed5
M,PS_Man,MGT-2023,M MGT-2023 BF,E-Marketing and E-Commerce,3.0,B406,Fri1
M,PS_Man,MGT-2023,M MGT-2023 IB-4,International Trade,3.0,B403,Mon3
M,PS_Man,MGT-2023,M MGT-2023 IB-2,International Trade,3.0,B408,Thu1
M,PS_Man,MGT-2023,M MGT-2023 IB-1,International Trade,3.0,B306,Mon4
M,PS_Man,MGT-2023,M MGT-2023 IB-4,International Corporate Sustainability,3.0,B108,Tue3
